time_s,q_deg_A1,q_deg_A2,q_deg_A3,q_deg_A4,q_deg_A5,q_deg_A6,qd_deg_s_A1,qd_deg_s_A2,qd_deg_s_A3,qd_deg_s_A4,qd_deg_s_A5,qd_deg_s_A6,qdd_deg_s2_A1,qdd_deg_s2_A2,qdd_deg_s2_A3,qdd_deg_s2_A4,qdd_deg_s2_A5,qdd_deg_s2_A6,flange_x_m,flange_y_m,flange_z_m
0,0,-30,20,0,30,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0.289909868050939,0,0.878710982897022
0.005,2.77083796296296e-06,-29.9999967673557,19.9999958437431,4.61806327160494e-06,30.0000006927095,8.31251388888889e-06,0.00166111574074074,0.00193796836419753,-0.00249167361111111,0.0027685262345679,0.000415278935185185,0.00498334722222222,0.663337037037037,0.773893209876543,-0.995005555555556,1.10556172839506,0.165834259259259,1.99001111111111,0.289909888124664,1.7324730205097e-08,0.878711002887838
0.01,2.21112592592593e-05,-29.9999742035309,19.9999668331111,3.68520987654321e-05,30.0000055278148,6.63337777777778e-05,0.0066222962962963,0.00772601234567901,-0.00993344444444445,0.0110371604938272,0.00165557407407407,0.0198668888888889,1.32002962962963,1.54003456790123,-1.98004444444444,2.20004938271605,0.330007407407407,3.96008888888889,0.289910028239052,1.38251231861038e-07,0.878711142423503
0.015,7.4438625e-05,-29.9999131549375,19.9998883420625,0.000124064375,30.0000186096563,0.000223315875,0.014850375,0.0173254375,-0.0222755625,0.024750625,0.00371259375,0.044551125,1.9701,2.29845,-2.95515,3.2835,0.492525,5.9103,0.289910407331864,4.65429994289307e-07,0.878711519950389
0.02,0.000176004740740741,-29.9997946611358,19.9997359928889,0.000293341234567901,30.0000440011852,0.000528014222222222,0.0263122962962963,0.0306976790123457,-0.0394684444444444,0.0438538271604938,0.00657807407407407,0.0789368888888889,2.61357037037037,3.04916543209877,-3.92035555555556,4.35595061728395,0.653392592592593,7.84071111111111,0.289911143141132,1.10047795382941e-06,0.878712252719668
0.025,0.000342896412037037,-29.999599954186,19.9994856553819,0.000571494020061728,30.000085724103,0.00102868923611111,0.0409751157407407,0.0478043016975309,-0.0614626736111111,0.0682918595679012,0.0102437789351852,0.122925347222222,3.25046296296296,3.79220679012346,-4.87569444444444,5.41743827160494,0.812615740740741,9.75138888888889,0.289912352208797,2.14398376225861e-06,0.878713456790448
0.03,0.000591036,-29.999310458,19.999113446,0.00098506,30.000147759,0.001773108,0.058806,0.068607,-0.088209,0.09801,0.0147015,0.176418,3.8808,4.5276,-5.8212,6.468,0.9702,11.6424,0.289914149884206,3.69551373063223e-06,0.878715247032596
0.035,0.000936181976851852,-29.9989077876937,19.9985957270347,0.00156030329475309,30.0002340454942,0.00280854593055556,0.0797722268518519,0.0930675979938272,-0.119658340277778,0.132953711419753,0.019943056712963,0.239316680555556,4.5046037037037,5.25537098765432,-6.75690555555556,7.50767283950617,1.12615092592593,13.5138111111111,0.289916650327466,5.85361842359955e-06,0.878717737129237
0.04,0.00139392948148148,-29.9983737489383,19.9979091057778,0.00232321580246914,30.0003484823704,0.00418178844444445,0.103841185185185,0.121148049382716,-0.155761777777778,0.173068641975309,0.0259602962962963,0.311523555555556,5.1218962962963,5.97554567901235,-7.68284444444444,8.53649382716049,1.28047407407407,15.3656888888889,0.289919966512668,8.71583987964188e-06,0.878721039578958
0.045,0.001979710875,-29.9976903373125,19.9970304336875,0.003299518125,30.0004949277188,0.005939132625,0.130980375,0.1528104375,-0.1964705625,0.218300625,0.03274509375,0.392941125,5.7327,6.68815,-8.59905,9.5545,1.433175,17.1981,0.289924210230977,1.23787194330678e-05,0.878725265697715
0.05,0.0027087962962963,-29.9968397376543,19.9959368055556,0.00451466049382716,30.0006771990741,0.00812638888888889,0.161157407407407,0.188016975308642,-0.241736111111111,0.268595679012346,0.0402893518518518,0.483472222222222,6.33703703703704,7.39320987654321,-9.50555555555555,10.5617283950617,1.58425925925926,19.0111111111111,0.289929492093599,1.69378061139862e-05,0.878730525620465
0.055,0.00359629421759259,-29.9958043234128,19.9946055586736,0.00599382369598765,30.0008990735544,0.0107888826527778,0.19434000462963,0.226730005401235,-0.291510006944445,0.323900007716049,0.0485850011574074,0.583020013888889,6.93492962962963,8.0907512345679,-10.4023944444444,11.5582160493827,1.73373240740741,20.8047888888889,0.289935921534632,2.24876656028595e-05,0.878736928302534
0.06,0.004657152,-29.994566656,19.993014272,0.00776192,30.001164288,0.013971456,0.230496,0.268912,-0.345744,0.38416,0.057624,0.691488,7.5264,8.7808,-11.2896,12.544,1.8816,22.5792,0.289943606813797,2.91218897166197e-05,0.878744581520716
0.065,0.00590615644907407,-29.9931094841427,19.9911407653264,0.00984359408179012,30.0014765391123,0.0177184693472222,0.269593337962963,0.31452556095679,-0.404390006944445,0.449322229938272,0.0673983344907408,0.808780013888889,8.11147037037037,9.46338209876543,-12.1672055555556,13.5191172839506,2.02786759259259,24.3344111111111,0.289952655019054,3.69331064037051e-05,0.878753591874145
0.07,0.00735793437037037,-29.9914157432346,19.9889630984444,0.0122632239506173,30.0018394835926,0.0220738031111111,0.311600074074074,0.363533419753086,-0.467400111111111,0.519333456790123,0.0779000185185185,0.934800222222222,8.69016296296296,10.1385234567901,-13.0352444444444,14.4836049382716,2.17254074074074,26.0704888888889,0.289963172069125,4.60129902257484e-05,0.87876406478491
0.075,0.009026953125,-29.9894685546875,19.9864595703125,0.015044921875,30.0022567382813,0.027080859375,0.356484375,0.4158984375,-0.5347265625,0.594140625,0.08912109375,1.069453125,9.2625,10.80625,-13.89375,15.4375,2.315625,27.7875,0.289975262715896,5.64522733040189e-05,0.878776104498468
0.08,0.0109275211851852,-29.987251225284,19.9836087182222,0.018212535308642,30.0027318802963,0.0327825635555556,0.404214518518519,0.471583604938272,-0.606321777777778,0.673690864197531,0.10105362962963,1.21264355555556,9.8285037037037,11.466587654321,-14.7427555555556,16.3808395061728,2.45712592592593,29.4855111111111,0.289989030546736,6.83407567090854e-05,0.878789814083824
0.085,0.0130737886898148,-29.9847472465285,19.9803893169653,0.021789647816358,30.0032684471725,0.0392213660694445,0.454758893518519,0.530552042438272,-0.682138340277778,0.757931489197531,0.11368972337963,1.36427668055556,10.3881962962963,12.119562345679,-15.5822944444444,17.3136604938272,2.59704907407407,31.1645888888889,0.290004577986709,8.17673222725327e-05,0.878805295433516
0.09,0.015479748,-29.981940294,19.976780378,0.02579958,30.003869937,0.046439244,0.508086,0.592767,-0.762129,0.84681,0.1270215,1.524258,10.9416,12.7652,-16.4124,18.236,2.7354,32.8248,0.2900220063007,9.68199447999226e-05,0.878822649263405
0.095,0.0181592342546296,-29.9788142267029,19.9727611486181,0.0302653904243827,30.0045398085637,0.0544777027638889,0.564164449074074,0.658191857253086,-0.846246673611111,0.940274081790124,0.141041112268519,1.69249334722222,11.488737037037,13.4035265432099,-17.2331055555556,19.1478950617284,2.87218425925926,34.4662111111111,0.290041415595447,0.000113585704664552,0.87884197511228
0.1,0.0211259259259259,-29.9753530864198,19.9683111111111,0.0352098765432099,30.0052814814815,0.0633777777777778,0.622962962962963,0.72679012345679,-0.934444444444444,1.03827160493827,0.155740740740741,1.86888888888889,12.0296296296296,14.0345679012346,-18.0444444444444,20.0493827160494,3.00740740740741,36.0888888888889,0.290062904821493,0.000132150800761907,0.878863371341288
0.105,0.024393345375,-29.9715410970625,19.9634099819375,0.040655575625,30.0060983363438,0.073180036125,0.684450375,0.7985254375,-1.0266755625,1.140750625,0.17111259375,2.053351125,12.5643,14.65835,-18.84645,20.9405,3.141075,37.6929,0.29008657177505,0.000152600563805075,0.878886935133194
0.11,0.0279748594074074,-29.9673626640247,19.9580377108889,0.0466247656790123,30.0069937148519,0.0839245782222222,0.74859562962963,0.873361567901235,-1.12289344444444,1.24765938271605,0.187148907407407,2.24578688888889,13.0927703703704,15.2748987654321,-19.6391555555556,21.8212839506173,3.27319259259259,39.2783111111111,0.290112513099782,0.000175019469941711,0.878912762491494
0.115,0.0318836798287037,-29.9628023735332,19.9521744802569,0.0531394663811728,30.0079709199572,0.0956510394861111,0.815367782407408,0.951262412808642,-1.22305167361111,1.35894630401235,0.203841945601852,2.44610334722222,13.615062962963,15.8842401234568,-20.4225944444444,22.6917716049383,3.40376574074074,40.8451888888889,0.290140824288517,0.000199491154673507,0.878940948239372
0.12,0.036132864,-29.957844992,19.945800704,0.06022144,30.009033216,0.108398592,0.884736,1.032192,-1.327104,1.47456,0.221184,2.654208,14.1312,16.4864,-21.1968,23.552,3.5328,42.3936,0.290171599684868,0.000226098427059452,0.878971586018519
0.125,0.0407353153935185,-29.9524754653742,19.9388970269097,0.0678921923225308,30.0101838288484,0.122205946180556,0.956669560185185,1.11611448688272,-1.43500434027778,1.59444926697531,0.239167390046296,2.87000868055556,14.6412037037037,17.0814043209877,-21.9618055555556,24.4020061728395,3.66030092592593,43.9236111111111,0.290204932484799,0.000254923284184515,0.879004768287833
0.13,0.0457037841481482,-29.9466789184938,19.9314443237778,0.0761729735802469,30.011425946037,0.137111352444444,1.03113785185185,1.20299416049383,-1.54670677777778,1.71856308641975,0.257784462962963,3.09341355555556,15.1450962962963,17.6692790123457,-22.7176444444444,25.2418271604938,3.78627407407407,45.4352888888889,0.290240914738102,0.000286046925875696,0.879040586321978
0.135,0.051050867625,-29.9404406544375,19.9234236985625,0.085084779375,30.0127627169062,0.153152602875,1.108110375,1.2927954375,-1.6621655625,1.846850625,0.27702759375,3.324331125,15.6429,18.25005,-23.46435,26.0715,3.910725,46.9287,0.290279637349814,0.000319549769647753,0.87907913020985
0.14,0.056789010962963,-29.9337461538765,19.9148164835556,0.0946483516049383,30.0141972527407,0.170367032888889,1.18755674074074,1.38548286419753,-1.78133511111111,1.9792612345679,0.296889185185185,3.56267022222222,16.134637037037,18.8237432098765,-24.2019555555556,26.8910617283951,4.03365925925926,48.4039111111111,0.290321190081562,0.000355511465861214,0.879120488852923
